id,Census_20011_Code_LG,Census_2001_Code_LG,District_Code_LG,District_Name_In_English_LG,district_population,State_Code_LG,State_Name_In_English_LG
1,638,2,603,NICOBARS,36842,35,ANDAMAN AND NICOBAR ISLANDS
2,639,0,632,NORTH AND MIDDLE ANDAMAN,105597,35,ANDAMAN AND NICOBAR ISLANDS
3,640,1,602,SOUTH ANDAMANS,238142,35,ANDAMAN AND NICOBAR ISLANDS
4,553,22,502,ANANTAPUR,4081148,28,ANDHRA PRADESH
5,554,23,503,CHITTOOR,4174064,28,ANDHRA PRADESH
6,545,14,505,EAST GODAVARI,5154296,28,ANDHRA PRADESH
7,548,17,506,GUNTUR,4887813,28,ANDHRA PRADESH
8,547,16,510,KRISHNA,4517398,28,ANDHRA PRADESH
9,552,21,511,KURNOOL,4053463,28,ANDHRA PRADESH
10,549,18,517,PRAKASAM,3397448,28,ANDHRA PRADESH
11,550,19,515,SPSR NELLORE,2963557,28,ANDHRA PRADESH
12,542,11,519,SRIKAKULAM,2703114,28,ANDHRA PRADESH
13,544,13,520,VISAKHAPATANAM,4290589,28,ANDHRA PRADESH
14,543,12,521,VIZIANAGARAM,2344474,28,ANDHRA PRADESH
15,546,15,523,WEST GODAVARI,3936966,28,ANDHRA PRADESH
16,551,20,504,Y.S.R.,2882469,28,ANDHRA PRADESH
17,260,0,628,ANJAW,21167,12,ARUNACHAL PRADESH
18,253,12,229,CHANGLANG,148226,12,ARUNACHAL PRADESH
19,257,10,230,DIBANG VALLEY,8004,12,ARUNACHAL PRADESH
20,247,3,231,EAST KAMENG,78690,12,ARUNACHAL PRADESH
21,251,8,232,EAST SIANG,99214,12,ARUNACHAL PRADESH
22,0,0,718,KAMLE,22256,12,ARUNACHAL PRADESH
23,0,0,677,KRA  DAADI,22290,12,ARUNACHAL PRADESH
24,256,14,233,KURUNG KUMEY,92076,12,ARUNACHAL PRADESH
25,259,11,234,LOHIT,145726,12,ARUNACHAL PRADESH
26,0,0,666,LONGDING,60000,12,ARUNACHAL PRADESH
27,258,15,235,LOWER DIBANG VALLEY,,12,ARUNACHAL PRADESH
28,0,0,719,LOWER SIANG,80597,12,ARUNACHAL PRADESH
29,255,5,236,LOWER SUBANSIRI,83030,12,ARUNACHAL PRADESH
30,0,0,678,NAMSAI,95950,12,ARUNACHAL PRADESH
31,248,4,237,PAPUM PARE,176573,12,ARUNACHAL PRADESH
32,0,0,679,SIANG,31920,12,ARUNACHAL PRADESH
33,245,1,238,TAWANG,49977,12,ARUNACHAL PRADESH
34,254,13,239,TIRAP,111975,12,ARUNACHAL PRADESH
35,252,9,240,UPPER SIANG,35320,12,ARUNACHAL PRADESH
36,249,6,241,UPPER SUBANSIRI,83448,12,ARUNACHAL PRADESH
37,246,2,242,WEST KAMENG,83947,12,ARUNACHAL PRADESH
38,250,7,243,WEST SIANG,112274,12,ARUNACHAL PRADESH
39,324,0,616,BAKSA,950075,18,ASSAM
40,303,5,280,BARPETA,1693622,18,ASSAM
41,0,0,705,BISWANATH,612491,18,ASSAM
42,319,4,281,BONGAIGAON,738804,18,ASSAM
43,316,21,282,CACHAR,1736617,18,ASSAM
44,0,0,708,CHARAIDEO,471418,18,ASSAM
45,320,0,612,CHIRANG,482162,18,ASSAM
46,325,8,283,DARRANG,928500,18,ASSAM
47,308,13,284,DHEMAJI,686133,18,ASSAM
48,301,2,285,DHUBRI,1949258,18,ASSAM
49,310,15,286,DIBRUGARH,1326335,18,ASSAM
50,315,20,299,DIMA HASAO,214102,18,ASSAM
51,302,3,287,GOALPARA,1008183,18,ASSAM
52,313,18,288,GOLAGHAT,1066888,18,ASSAM
53,318,23,289,HAILAKANDI,659296,18,ASSAM
54,0,0,709,HOJAI,931218,18,ASSAM
55,312,17,290,JORHAT,1092256,18,ASSAM
56,321,6,291,KAMRUP,1517542,18,ASSAM
57,322,0,618,KAMRUP METRO,1253938,18,ASSAM
58,314,19,292,KARBI ANGLONG,956313,18,ASSAM
59,317,22,293,KARIMGANJ,1228686,18,ASSAM
60,300,1,294,KOKRAJHAR,887142,18,ASSAM
61,307,12,295,LAKHIMPUR,1042137,18,ASSAM
62,0,0,706,MAJULI,167304,18,ASSAM
63,304,9,296,MARIGAON,957423,18,ASSAM
64,305,10,297,NAGAON,2823768,18,ASSAM
65,323,7,298,NALBARI,771639,18,ASSAM
66,311,16,300,SIVASAGAR,1151050,18,ASSAM
67,306,11,301,SONITPUR,1924110,18,ASSAM
68,0,0,707,SOUTH SALMARA MANCACHAR,555114,18,ASSAM
69,309,14,302,TINSUKIA,1327929,18,ASSAM
70,326,0,617,UDALGURI,831668,18,ASSAM
71,0,0,710,WEST KARBI ANGLONG,300320,18,ASSAM
72,209,7,188,ARARIA,2811569,10,BIHAR
73,240,33,611,ARWAL,700843,10,BIHAR
74,235,34,189,AURANGABAD,3701282,10,BIHAR
75,225,23,190,BANKA,2034763,10,BIHAR
76,222,20,191,BEGUSARAI,2970541,10,BIHAR
77,224,22,192,BHAGALPUR,3037766,10,BIHAR
78,231,29,193,BHOJPUR,2728407,10,BIHAR
79,232,30,194,BUXAR,1706352,10,BIHAR
80,215,13,195,DARBHANGA,3937385,10,BIHAR
81,236,35,196,GAYA,4391418,10,BIHAR
82,217,15,197,GOPALGANJ,2562012,10,BIHAR
83,238,37,198,JAMUI,1760405,10,BIHAR
84,239,33,199,JEHANABAD,1125313,10,BIHAR
85,233,31,200,KAIMUR (BHABUA),1626384,10,BIHAR
86,212,10,201,KATIHAR,3071029,10,BIHAR
87,223,21,202,KHAGARIA,1666886,10,BIHAR
88,210,8,203,KISHANGANJ,1690400,10,BIHAR
89,227,25,204,LAKHISARAI,1000912,10,BIHAR
90,213,11,205,MADHEPURA,2001762,10,BIHAR
91,207,5,206,MADHUBANI,4487379,10,BIHAR
92,226,24,207,MUNGER,1367765,10,BIHAR
93,216,14,208,MUZAFFARPUR,4801062,10,BIHAR
94,229,27,209,NALANDA,2877653,10,BIHAR
95,237,36,210,NAWADA,2219146,10,BIHAR
96,203,1,211,PASHCHIM CHAMPARAN,3935042,10,BIHAR
97,230,28,212,PATNA,5838465,10,BIHAR
98,204,2,213,PURBI CHAMPARAN,5099371,10,BIHAR
99,211,9,214,PURNIA,3264619,10,BIHAR
100,234,32,215,ROHTAS,2959918,10,BIHAR
101,214,12,216,SAHARSA,1900661,10,BIHAR
102,221,19,217,SAMASTIPUR,4261566,10,BIHAR
103,219,17,218,SARAN,3951862,10,BIHAR
104,228,26,219,SHEIKHPURA,636342,10,BIHAR
105,205,3,220,SHEOHAR,656246,10,BIHAR
106,206,4,221,SITAMARHI,3423574,10,BIHAR
107,218,16,222,SIWAN,3330464,10,BIHAR
108,208,6,223,SUPAUL,2229076,10,BIHAR
109,220,18,224,VAISHALI,3495021,10,BIHAR
110,55,1,44,CHANDIGARH,1055450,4,CHANDIGARH
111,0,0,646,BALOD,826165,22,CHHATTISGARH
112,0,0,644,BALODA BAZAR,1305343,22,CHHATTISGARH
113,0,0,649,BALRAMPUR,2148665,22,CHHATTISGARH
114,414,15,374,BASTAR,1413199,22,CHHATTISGARH
115,0,0,650,BEMETARA,795759,22,CHHATTISGARH
116,417,16,636,BIJAPUR,255230,22,CHHATTISGARH
117,406,7,375,BILASPUR,1961922,22,CHHATTISGARH
118,416,16,376,DANTEWADA,283479,22,CHHATTISGARH
119,412,13,377,DHAMTARI,799781,22,CHHATTISGARH
120,409,10,378,DURG,3343872,22,CHHATTISGARH
121,645,0,645,GARIYABAND,597653,22,CHHATTISGARH
122,405,6,379,JANJGIR CHAMPA,1619707,22,CHHATTISGARH
123,402,3,380,JASHPUR,851669,22,CHHATTISGARH
124,407,8,382,KABIRDHAM,822526,22,CHHATTISGARH
125,413,14,381,KANKER,748941,22,CHHATTISGARH
126,0,0,643,KONDAGAON,578326,22,CHHATTISGARH
127,404,5,383,KORBA,1206640,22,CHHATTISGARH
128,400,1,384,KOREA,658917,22,CHHATTISGARH
129,411,12,385,MAHASAMUND,1032754,22,CHHATTISGARH
