State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-03-22T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-04-06T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-04-07T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-04-10T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-04-16T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-04-18T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-04-19T00:00:00+05:30,22,0,22,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-04-20T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-04-29T00:00:00+05:30,51,0,51,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-04-30T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-05-04T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-05-05T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-05-06T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-05-07T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-05-10T00:00:00+05:30,15,0,15,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-05-11T00:00:00+05:30,33,0,33,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-05-12T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-05-13T00:00:00+05:30,31,0,31,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2020-05-14T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
