State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
ANDHRA PRADESH,ANANTAPUR,2020-03-12T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-03-23T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-03-24T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-03-25T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-03-26T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-03-27T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-03-28T00:00:00+05:30,13,0,13,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-03-29T00:00:00+05:30,17,0,17,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-03-30T00:00:00+05:30,24,0,24,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-03-31T00:00:00+05:30,20,0,20,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-01T00:00:00+05:30,21,0,21,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-02T00:00:00+05:30,12,0,12,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-03T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-04T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-06T00:00:00+05:30,12,0,12,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-07T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-08T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-09T00:00:00+05:30,10,0,10,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-10T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-11T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-12T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-13T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-14T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-15T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-16T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-17T00:00:00+05:30,1067,26,1067,26,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-18T00:00:00+05:30,291,3,291,3,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-19T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-20T00:00:00+05:30,26,4,26,4,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-21T00:00:00+05:30,92,5,92,5,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-22T00:00:00+05:30,196,5,196,5,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-23T00:00:00+05:30,67,2,67,2,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-24T00:00:00+05:30,224,3,163,3,0,0,0,0,0,0,61,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-25T00:00:00+05:30,233,4,102,4,0,0,0,2,0,0,129,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-26T00:00:00+05:30,72,0,24,0,0,0,0,0,0,0,48,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-27T00:00:00+05:30,322,0,224,0,0,0,0,0,0,0,98,1,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-28T00:00:00+05:30,855,6,154,6,0,0,0,1,0,0,700,1,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-29T00:00:00+05:30,538,2,38,1,0,0,1,3,0,0,497,1,0,0
ANDHRA PRADESH,ANANTAPUR,2020-04-30T00:00:00+05:30,561,5,157,5,0,0,0,22,0,0,382,1,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-01T00:00:00+05:30,564,8,259,8,0,0,0,25,0,0,280,1,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-02T00:00:00+05:30,523,7,201,7,0,0,0,11,0,0,311,2,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-03T00:00:00+05:30,340,1,8,1,0,0,0,0,0,0,332,19,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-04T00:00:00+05:30,1186,23,372,23,0,0,0,36,0,0,778,19,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-05T00:00:00+05:30,814,10,198,4,0,0,6,51,0,0,565,16,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-06T00:00:00+05:30,745,0,229,0,0,0,0,4,0,0,512,19,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-07T00:00:00+05:30,494,1,227,1,0,0,0,1,0,0,266,5,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-08T00:00:00+05:30,326,15,95,15,0,0,0,2,0,0,229,2,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-09T00:00:00+05:30,554,8,208,8,0,0,0,0,0,0,346,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-10T00:00:00+05:30,382,0,78,0,0,0,0,0,0,0,304,6,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-11T00:00:00+05:30,532,8,126,8,0,0,0,0,0,0,406,19,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-12T00:00:00+05:30,842,0,312,0,0,0,0,0,0,0,530,11,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-13T00:00:00+05:30,706,2,299,2,0,0,0,0,0,0,407,5,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-14T00:00:00+05:30,851,21,207,21,0,0,0,0,0,0,644,45,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-15T00:00:00+05:30,696,34,454,34,0,0,0,0,0,0,242,1,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-16T00:00:00+05:30,921,55,357,55,0,0,0,0,0,0,564,3,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-17T00:00:00+05:30,364,0,103,0,0,0,0,0,0,0,261,6,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-18T00:00:00+05:30,734,0,192,0,0,0,0,0,0,0,542,30,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-19T00:00:00+05:30,943,5,302,5,0,0,0,0,0,0,641,8,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-20T00:00:00+05:30,1099,2,412,2,0,0,0,0,0,0,687,1,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-21T00:00:00+05:30,577,5,178,5,0,0,0,0,0,0,399,7,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-22T00:00:00+05:30,469,36,285,36,0,0,0,0,0,0,184,1,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-23T00:00:00+05:30,588,9,354,9,0,0,0,1,0,0,233,6,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-24T00:00:00+05:30,700,0,236,0,0,0,0,0,0,0,464,33,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-25T00:00:00+05:30,468,0,155,0,0,0,0,0,0,0,313,6,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-26T00:00:00+05:30,842,30,281,30,0,0,0,0,0,0,561,26,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-27T00:00:00+05:30,703,5,357,5,0,0,0,1,0,0,345,9,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-28T00:00:00+05:30,639,1,464,1,0,0,0,0,0,0,175,13,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-29T00:00:00+05:30,481,0,449,0,0,0,0,0,0,0,32,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-30T00:00:00+05:30,296,0,126,0,0,0,0,0,0,0,170,0,0,0
ANDHRA PRADESH,ANANTAPUR,2020-05-31T00:00:00+05:30,315,0,8,0,0,0,0,0,0,0,307,2,0,0
ANDHRA PRADESH,ANANTAPUR,2020-06-01T00:00:00+05:30,540,81,170,12,0,0,0,1,0,0,300,5,69,69
ANDHRA PRADESH,ANANTAPUR,2020-06-02T00:00:00+05:30,849,13,343,13,0,0,0,0,0,0,506,4,0,0
ANDHRA PRADESH,ANANTAPUR,2020-06-03T00:00:00+05:30,664,0,427,0,0,0,0,0,0,0,237,1,0,0
ANDHRA PRADESH,ANANTAPUR,2020-06-04T00:00:00+05:30,551,26,261,21,0,0,0,2,0,0,283,5,5,5
ANDHRA PRADESH,ANANTAPUR,2020-06-05T00:00:00+05:30,567,25,460,23,0,0,0,0,0,0,105,0,2,2
ANDHRA PRADESH,ANANTAPUR,2020-06-06T00:00:00+05:30,584,14,343,12,0,0,0,2,0,0,236,9,3,2
ANDHRA PRADESH,ANANTAPUR,2020-06-07T00:00:00+05:30,445,0,213,0,0,0,0,1,0,0,157,2,74,0
ANDHRA PRADESH,ANANTAPUR,2020-06-08T00:00:00+05:30,768,7,496,7,0,0,0,2,0,0,217,0,53,0
ANDHRA PRADESH,ANANTAPUR,2020-06-09T00:00:00+05:30,844,13,525,13,0,0,0,0,0,0,266,0,53,0
ANDHRA PRADESH,ANANTAPUR,2020-06-10T00:00:00+05:30,818,48,340,45,0,0,0,1,0,0,422,0,55,3
ANDHRA PRADESH,ANANTAPUR,2020-06-11T00:00:00+05:30,338,3,29,0,0,0,0,0,0,0,258,1,51,3
ANDHRA PRADESH,ANANTAPUR,2020-06-12T00:00:00+05:30,187,16,21,1,0,0,0,2,0,0,85,0,79,15
ANDHRA PRADESH,ANANTAPUR,2020-06-13T00:00:00+05:30,632,1,358,1,0,0,0,1,0,0,214,0,59,0
ANDHRA PRADESH,ANANTAPUR,2020-06-14T00:00:00+05:30,472,16,128,11,0,0,0,0,0,0,281,0,63,5
ANDHRA PRADESH,ANANTAPUR,2020-06-15T00:00:00+05:30,848,0,569,0,0,0,0,0,0,0,220,0,59,0
ANDHRA PRADESH,ANANTAPUR,2020-06-16T00:00:00+05:30,791,39,398,0,0,0,0,1,0,0,351,0,41,39
ANDHRA PRADESH,ANANTAPUR,2020-06-17T00:00:00+05:30,1050,44,643,40,0,0,0,0,0,0,357,0,50,4
ANDHRA PRADESH,ANANTAPUR,2020-06-18T00:00:00+05:30,894,62,543,59,0,0,0,0,0,0,270,0,81,3
ANDHRA PRADESH,ANANTAPUR,2020-06-19T00:00:00+05:30,807,68,409,68,0,0,0,4,0,0,381,0,13,0
ANDHRA PRADESH,ANANTAPUR,2020-06-20T00:00:00+05:30,627,147,437,147,0,0,0,1,0,0,121,1,68,0
ANDHRA PRADESH,ANANTAPUR,2020-06-21T00:00:00+05:30,449,38,277,1,0,0,0,0,0,0,110,5,62,37
ANDHRA PRADESH,ANANTAPUR,2020-06-22T00:00:00+05:30,897,125,385,62,0,0,0,0,0,0,382,1,130,63
ANDHRA PRADESH,ANANTAPUR,2020-06-23T00:00:00+05:30,1398,99,893,36,0,0,0,0,0,0,376,71,129,63
ANDHRA PRADESH,ANANTAPUR,2020-06-24T00:00:00+05:30,1464,62,957,41,0,0,0,0,0,0,435,9,72,21
ANDHRA PRADESH,ANANTAPUR,2020-06-25T00:00:00+05:30,1549,83,908,27,0,0,0,1,0,0,453,118,187,56
ANDHRA PRADESH,ANANTAPUR,2020-06-26T00:00:00+05:30,1040,145,738,90,0,0,0,1,0,0,188,5,113,55
ANDHRA PRADESH,ANANTAPUR,2020-06-27T00:00:00+05:30,615,126,311,20,0,0,0,0,0,0,198,28,106,106
ANDHRA PRADESH,ANANTAPUR,2020-06-28T00:00:00+05:30,293,142,112,105,0,0,0,0,0,0,144,8,37,37
ANDHRA PRADESH,ANANTAPUR,2020-06-29T00:00:00+05:30,1354,183,1127,82,0,0,0,1,0,0,124,23,102,101
ANDHRA PRADESH,ANANTAPUR,2020-06-30T00:00:00+05:30,1454,116,1131,107,0,0,0,1,0,0,313,1,9,9
ANDHRA PRADESH,ANANTAPUR,2020-07-01T00:00:00+05:30,2170,114,1495,94,0,0,1,1,0,0,655,5,19,19
ANDHRA PRADESH,ANANTAPUR,2020-07-02T00:00:00+05:30,1382,161,1036,118,0,0,0,1,0,0,300,4,45,43
ANDHRA PRADESH,ANANTAPUR,2020-07-03T00:00:00+05:30,1416,96,1306,85,0,0,0,1,0,0,98,2,11,11
ANDHRA PRADESH,ANANTAPUR,2020-07-04T00:00:00+05:30,1529,163,1098,111,0,0,0,0,0,0,362,9,69,52
ANDHRA PRADESH,ANANTAPUR,2020-07-05T00:00:00+05:30,908,82,711,39,0,0,0,0,0,0,132,2,65,43
