State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
ARUNACHAL PRADESH,ANJAW,2020-04-05T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-05-04T00:00:00+05:30,7,0,2,0,0,0,0,1,0,0,4,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-05-05T00:00:00+05:30,2,0,1,0,0,0,0,0,0,0,1,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-05-07T00:00:00+05:30,6,0,5,0,0,0,0,0,0,0,1,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-05-10T00:00:00+05:30,2,0,1,0,0,0,0,0,0,0,1,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-05-15T00:00:00+05:30,7,0,7,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-05-20T00:00:00+05:30,9,0,9,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-05-28T00:00:00+05:30,17,0,17,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-06-05T00:00:00+05:30,13,0,13,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-06-09T00:00:00+05:30,2,0,1,0,0,0,0,0,0,0,1,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-06-12T00:00:00+05:30,38,0,38,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-06-15T00:00:00+05:30,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-06-18T00:00:00+05:30,16,0,16,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-06-24T00:00:00+05:30,15,0,15,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-06-25T00:00:00+05:30,22,0,22,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-06-29T00:00:00+05:30,15,0,15,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-06-30T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-07-05T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-07-06T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-07-08T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-07-12T00:00:00+05:30,16,0,16,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-07-13T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-07-19T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-07-22T00:00:00+05:30,3,0,1,0,2,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-07-23T00:00:00+05:30,2,0,1,0,1,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-07-24T00:00:00+05:30,24,0,0,0,24,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-07-25T00:00:00+05:30,2,0,0,0,2,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-07-26T00:00:00+05:30,42,0,0,0,42,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-07-27T00:00:00+05:30,16,0,0,0,16,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,ANJAW,2020-07-28T00:00:00+05:30,2,0,0,0,2,0,0,0,0,0,0,0,0,0
