State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
BIHAR,ARARIA,2020-03-22T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-03-23T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-03-24T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-03-26T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-03-28T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-03-31T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-02T00:00:00+05:30,12,0,12,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-03T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-04T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-05T00:00:00+05:30,7,0,7,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-06T00:00:00+05:30,7,0,7,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-07T00:00:00+05:30,39,1,39,1,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-08T00:00:00+05:30,29,0,29,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-09T00:00:00+05:30,9,0,9,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-10T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-11T00:00:00+05:30,19,0,19,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-12T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-13T00:00:00+05:30,10,0,10,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-14T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-15T00:00:00+05:30,12,0,12,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-16T00:00:00+05:30,11,0,11,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-17T00:00:00+05:30,18,0,18,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-18T00:00:00+05:30,11,0,11,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-19T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-20T00:00:00+05:30,11,0,11,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-21T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-22T00:00:00+05:30,18,0,18,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-23T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-24T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-26T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-27T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-28T00:00:00+05:30,11,1,11,1,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-29T00:00:00+05:30,20,0,20,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-04-30T00:00:00+05:30,15,0,15,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-01T00:00:00+05:30,54,1,54,1,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-02T00:00:00+05:30,25,0,25,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-03T00:00:00+05:30,5,0,4,0,0,0,0,0,0,0,1,0,0,0
BIHAR,ARARIA,2020-05-04T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-06T00:00:00+05:30,7,0,7,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-07T00:00:00+05:30,14,0,14,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-08T00:00:00+05:30,25,3,25,3,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-09T00:00:00+05:30,26,0,26,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-10T00:00:00+05:30,25,0,25,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-11T00:00:00+05:30,12,0,12,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-12T00:00:00+05:30,35,0,35,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-13T00:00:00+05:30,35,0,35,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-14T00:00:00+05:30,46,0,46,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-15T00:00:00+05:30,39,0,39,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-16T00:00:00+05:30,48,0,48,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-17T00:00:00+05:30,42,0,42,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-18T00:00:00+05:30,22,0,22,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-19T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-20T00:00:00+05:30,85,9,85,9,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-21T00:00:00+05:30,1,1,1,1,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-22T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-23T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-24T00:00:00+05:30,16,6,16,6,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-25T00:00:00+05:30,32,8,32,8,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-26T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-27T00:00:00+05:30,26,4,26,4,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-28T00:00:00+05:30,35,6,35,6,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-29T00:00:00+05:30,112,2,112,2,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2020-05-30T00:00:00+05:30,48,0,48,0,0,0,0,0,0,0,0,0,0,0
