State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
CHHATTISGARH,BALOD,2020-03-10T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-03-28T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-03-31T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-03T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-04T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-05T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-06T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-07T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-08T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-09T00:00:00+05:30,14,0,14,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-10T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-13T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-15T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-16T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-20T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-21T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-22T00:00:00+05:30,41,0,41,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-23T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-24T00:00:00+05:30,60,0,60,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-25T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-26T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-27T00:00:00+05:30,28,0,28,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-28T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-29T00:00:00+05:30,36,0,36,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-04-30T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-05-01T00:00:00+05:30,218,0,218,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-05-02T00:00:00+05:30,71,0,71,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-05-03T00:00:00+05:30,76,0,75,0,0,0,0,0,0,0,1,0,0,0
CHHATTISGARH,BALOD,2020-05-04T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-05-05T00:00:00+05:30,20,0,20,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-05-06T00:00:00+05:30,131,0,131,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-05-07T00:00:00+05:30,16,0,16,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BALOD,2020-05-08T00:00:00+05:30,12,0,12,0,0,0,0,0,0,0,0,0,0,0
