State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
DELHI,CENTRAL,2020-03-10T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-03-16T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-03-21T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-03-22T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-03-23T00:00:00+05:30,15,0,15,0,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-03-24T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-03-25T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-03-26T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-03-27T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-03-28T00:00:00+05:30,13,0,13,0,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-03-29T00:00:00+05:30,15,0,15,0,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-03-30T00:00:00+05:30,22,0,22,0,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-03-31T00:00:00+05:30,14,0,14,0,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-01T00:00:00+05:30,23,0,23,0,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-02T00:00:00+05:30,27,1,27,1,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-03T00:00:00+05:30,48,1,48,1,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-04T00:00:00+05:30,71,2,71,2,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-05T00:00:00+05:30,77,2,77,2,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-06T00:00:00+05:30,35,3,35,3,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-07T00:00:00+05:30,81,5,81,5,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-08T00:00:00+05:30,70,17,70,17,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-09T00:00:00+05:30,63,8,63,8,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-10T00:00:00+05:30,45,3,45,3,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-11T00:00:00+05:30,85,22,85,22,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-12T00:00:00+05:30,31,4,31,4,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-13T00:00:00+05:30,93,7,93,7,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-14T00:00:00+05:30,79,12,79,12,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-15T00:00:00+05:30,115,24,115,24,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-16T00:00:00+05:30,112,32,112,32,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-17T00:00:00+05:30,85,21,85,21,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-18T00:00:00+05:30,101,17,101,17,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-19T00:00:00+05:30,80,23,80,23,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-20T00:00:00+05:30,144,40,144,40,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-21T00:00:00+05:30,244,12,244,12,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-22T00:00:00+05:30,146,13,146,13,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-23T00:00:00+05:30,146,17,146,17,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-24T00:00:00+05:30,147,21,147,21,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-25T00:00:00+05:30,115,33,115,33,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-26T00:00:00+05:30,137,27,137,27,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-27T00:00:00+05:30,135,65,135,65,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-28T00:00:00+05:30,151,43,151,43,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-29T00:00:00+05:30,153,37,153,37,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-04-30T00:00:00+05:30,230,64,230,64,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-01T00:00:00+05:30,201,43,201,43,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-02T00:00:00+05:30,244,89,244,89,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-03T00:00:00+05:30,357,147,357,147,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-04T00:00:00+05:30,276,88,276,88,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-05T00:00:00+05:30,397,121,396,120,0,0,1,1,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-06T00:00:00+05:30,417,79,417,79,0,0,0,0,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-07T00:00:00+05:30,444,93,440,91,0,0,2,4,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-08T00:00:00+05:30,625,80,613,78,0,0,2,11,0,0,1,0,0,0
DELHI,CENTRAL,2020-05-09T00:00:00+05:30,612,67,596,65,0,0,2,16,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-10T00:00:00+05:30,274,43,262,41,0,0,2,12,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-11T00:00:00+05:30,578,85,573,83,0,0,2,4,0,0,1,0,0,0
DELHI,CENTRAL,2020-05-12T00:00:00+05:30,327,70,318,69,0,0,1,9,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-13T00:00:00+05:30,504,100,499,99,0,0,1,5,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-14T00:00:00+05:30,306,76,297,74,0,0,2,9,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-15T00:00:00+05:30,393,63,374,59,0,0,4,19,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-16T00:00:00+05:30,329,95,324,95,0,0,0,5,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-17T00:00:00+05:30,244,53,232,53,0,0,0,12,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-18T00:00:00+05:30,379,114,366,114,0,0,0,12,0,0,1,1,0,0
DELHI,CENTRAL,2020-05-19T00:00:00+05:30,347,123,345,122,0,0,1,2,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-20T00:00:00+05:30,398,90,385,90,0,0,0,1,0,0,12,8,0,0
DELHI,CENTRAL,2020-05-21T00:00:00+05:30,368,128,335,120,0,0,8,13,0,0,20,6,0,0
DELHI,CENTRAL,2020-05-22T00:00:00+05:30,477,125,469,124,0,0,1,3,0,0,5,1,0,0
DELHI,CENTRAL,2020-05-23T00:00:00+05:30,365,83,361,80,0,0,3,4,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-24T00:00:00+05:30,291,78,283,75,0,0,3,8,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-25T00:00:00+05:30,245,60,242,59,0,0,1,3,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-26T00:00:00+05:30,645,101,638,99,0,0,2,6,0,0,1,1,0,0
DELHI,CENTRAL,2020-05-27T00:00:00+05:30,881,178,876,177,0,0,1,4,0,0,1,1,0,0
DELHI,CENTRAL,2020-05-28T00:00:00+05:30,632,129,619,129,0,0,0,12,0,0,1,0,0,0
DELHI,CENTRAL,2020-05-29T00:00:00+05:30,576,149,520,145,0,0,4,56,0,0,0,0,0,0
DELHI,CENTRAL,2020-05-30T00:00:00+05:30,637,200,617,199,0,0,1,19,0,0,1,0,0,0
DELHI,CENTRAL,2020-05-31T00:00:00+05:30,439,180,426,174,0,0,6,12,0,0,1,1,0,0
DELHI,CENTRAL,2020-06-01T00:00:00+05:30,711,192,689,190,0,0,2,21,0,0,1,1,0,0
