State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
GOA,NORTH GOA,2020-03-10T00:00:00+05:30,9,0,9,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-03-12T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-03-25T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-03-28T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-03-29T00:00:00+05:30,55,0,55,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-03-31T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-01T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-02T00:00:00+05:30,44,0,44,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-05T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-06T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-07T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-08T00:00:00+05:30,7,1,7,1,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-09T00:00:00+05:30,9,0,9,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-10T00:00:00+05:30,14,1,14,1,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-11T00:00:00+05:30,19,0,19,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-12T00:00:00+05:30,15,0,15,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-13T00:00:00+05:30,12,0,12,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-14T00:00:00+05:30,29,1,29,1,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-15T00:00:00+05:30,9,1,9,1,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-16T00:00:00+05:30,12,0,12,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-17T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-18T00:00:00+05:30,43,0,43,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-19T00:00:00+05:30,17,0,17,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-20T00:00:00+05:30,26,0,26,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-21T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-22T00:00:00+05:30,26,0,5,0,0,0,0,0,0,0,21,0,0,0
GOA,NORTH GOA,2020-04-23T00:00:00+05:30,46,1,12,1,0,0,0,0,0,0,34,0,0,0
GOA,NORTH GOA,2020-04-24T00:00:00+05:30,67,0,12,0,0,0,0,0,0,0,55,0,0,0
GOA,NORTH GOA,2020-04-25T00:00:00+05:30,100,0,30,0,0,0,0,0,0,0,70,0,0,0
GOA,NORTH GOA,2020-04-26T00:00:00+05:30,11,0,11,0,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,2020-04-27T00:00:00+05:30,106,0,27,0,0,0,0,0,0,0,79,0,0,0
GOA,NORTH GOA,2020-04-28T00:00:00+05:30,56,0,8,0,0,0,0,0,0,0,48,0,0,0
GOA,NORTH GOA,2020-04-29T00:00:00+05:30,50,0,1,0,0,0,0,0,0,0,49,0,0,0
GOA,NORTH GOA,2020-04-30T00:00:00+05:30,44,0,3,0,0,0,0,0,0,0,41,0,0,0
GOA,NORTH GOA,2020-05-01T00:00:00+05:30,51,0,18,0,0,0,0,0,0,0,33,0,0,0
GOA,NORTH GOA,2020-05-02T00:00:00+05:30,69,0,13,0,0,0,0,0,0,0,56,0,0,0
GOA,NORTH GOA,2020-05-03T00:00:00+05:30,118,0,9,0,0,0,0,0,0,0,109,0,0,0
GOA,NORTH GOA,2020-05-04T00:00:00+05:30,78,0,20,0,0,0,0,0,0,0,58,0,0,0
GOA,NORTH GOA,2020-05-05T00:00:00+05:30,159,0,7,0,0,0,0,0,0,0,152,0,0,0
GOA,NORTH GOA,2020-05-06T00:00:00+05:30,136,0,3,0,0,0,0,0,0,0,133,0,0,0
GOA,NORTH GOA,2020-05-07T00:00:00+05:30,147,0,30,0,0,0,0,0,0,0,117,0,0,0
GOA,NORTH GOA,2020-05-08T00:00:00+05:30,157,0,5,0,0,0,0,0,0,0,152,0,0,0
GOA,NORTH GOA,2020-05-09T00:00:00+05:30,14,0,5,0,0,0,0,0,0,0,9,0,0,0
GOA,NORTH GOA,2020-05-10T00:00:00+05:30,7,0,4,0,0,0,0,0,0,0,3,1,0,0
GOA,NORTH GOA,2020-05-11T00:00:00+05:30,74,0,3,0,0,0,0,0,0,0,71,0,0,0
GOA,NORTH GOA,2020-05-12T00:00:00+05:30,114,0,26,0,0,0,0,0,0,0,88,0,0,0
GOA,NORTH GOA,2020-05-13T00:00:00+05:30,219,0,3,0,0,0,0,0,0,0,216,0,0,0
GOA,NORTH GOA,2020-05-14T00:00:00+05:30,170,0,24,0,0,0,0,0,0,0,146,6,0,0
GOA,NORTH GOA,2020-05-15T00:00:00+05:30,252,6,78,6,0,0,0,0,0,0,174,0,0,0
GOA,NORTH GOA,2020-05-16T00:00:00+05:30,260,0,7,0,0,0,0,0,0,0,253,1,0,0
