State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
HARYANA,AMBALA,2020-03-22T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA,2020-03-23T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA,2020-03-24T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA,2020-03-27T00:00:00+05:30,7,0,7,0,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA,2020-03-28T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA,2020-03-29T00:00:00+05:30,9,0,9,0,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA,2020-03-30T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA,2020-03-31T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA,2020-04-01T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA,2020-04-02T00:00:00+05:30,5,1,5,1,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA,2020-04-03T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA,2020-04-04T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA,2020-04-06T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA,2020-04-07T00:00:00+05:30,35,3,35,3,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA,2020-04-08T00:00:00+05:30,35,1,35,1,0,0,0,0,0,0,0,0,0,0
HARYANA,AMBALA,2020-04-09T00:00:00+05:30,47,0,47,0,0,0,0,0,0,0,0,0,0,0
