State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
JAMMU AND KASHMIR,ANANTNAG,2020-03-21T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-03-22T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-03-23T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-03-24T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-03-25T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-03-26T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-03-27T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-03-28T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-03-30T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-03-31T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-01T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-02T00:00:00+05:30,11,0,11,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-03T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-04T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-06T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-07T00:00:00+05:30,7,0,7,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-10T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-11T00:00:00+05:30,42,0,42,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-13T00:00:00+05:30,28,0,28,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-14T00:00:00+05:30,32,1,32,1,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-15T00:00:00+05:30,11,0,11,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-16T00:00:00+05:30,16,0,16,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-17T00:00:00+05:30,45,0,45,0,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-18T00:00:00+05:30,83,2,83,2,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-19T00:00:00+05:30,27,4,27,4,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-20T00:00:00+05:30,11,1,11,1,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-21T00:00:00+05:30,38,2,38,2,0,0,0,0,0,0,0,0,0,0
JAMMU AND KASHMIR,ANANTNAG,2020-04-22T00:00:00+05:30,50,6,50,6,0,0,0,0,0,0,0,0,0,0
