State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
JHARKHAND,BOKARO,2020-03-11T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-03-26T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-03-27T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-03-28T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-03-30T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-01T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-03T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-04T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-05T00:00:00+05:30,12,0,12,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-06T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-08T00:00:00+05:30,5,4,5,4,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-09T00:00:00+05:30,25,1,25,1,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-10T00:00:00+05:30,9,0,9,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-11T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-12T00:00:00+05:30,5,2,5,2,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-13T00:00:00+05:30,45,1,45,1,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-14T00:00:00+05:30,10,0,10,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-15T00:00:00+05:30,56,0,56,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-16T00:00:00+05:30,13,0,13,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-17T00:00:00+05:30,63,0,63,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-18T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-19T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-20T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-22T00:00:00+05:30,19,3,19,3,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-23T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-24T00:00:00+05:30,13,0,12,0,0,0,0,1,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-25T00:00:00+05:30,29,0,29,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-27T00:00:00+05:30,19,0,19,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-28T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-29T00:00:00+05:30,38,1,38,1,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-04-30T00:00:00+05:30,7,2,7,2,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-05-01T00:00:00+05:30,16,0,16,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-05-02T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-05-03T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-05-04T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BOKARO,2020-05-05T00:00:00+05:30,19,0,19,0,0,0,0,0,0,0,0,0,0,0
