State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
KARNATAKA,BAGALKOTE,2020-03-12T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,BAGALKOTE,2020-03-23T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,BAGALKOTE,2020-03-26T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,BAGALKOTE,2020-03-27T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,BAGALKOTE,2020-04-02T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,BAGALKOTE,2020-04-03T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,BAGALKOTE,2020-04-04T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,BAGALKOTE,2020-04-05T00:00:00+05:30,10,1,10,1,0,0,0,0,0,0,0,0,0,0
KARNATAKA,BAGALKOTE,2020-04-06T00:00:00+05:30,35,1,35,1,0,0,0,0,0,0,0,0,0,0
KARNATAKA,BAGALKOTE,2020-04-07T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,BAGALKOTE,2020-04-08T00:00:00+05:30,23,3,23,3,0,0,0,0,0,0,0,0,0,0
KARNATAKA,BAGALKOTE,2020-04-09T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,BAGALKOTE,2020-04-10T00:00:00+05:30,132,0,132,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,BAGALKOTE,2020-04-11T00:00:00+05:30,103,1,103,1,0,0,0,0,0,0,0,0,0,0
