State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
MAHARASHTRA,AHMEDNAGAR,2020-03-10T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-03-14T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-03-26T00:00:00+05:30,18,0,18,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-03-27T00:00:00+05:30,73,0,73,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-03-28T00:00:00+05:30,22,0,22,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-03-29T00:00:00+05:30,19,0,19,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-03-30T00:00:00+05:30,23,0,23,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-03-31T00:00:00+05:30,33,0,33,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-02T00:00:00+05:30,102,1,102,1,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-03T00:00:00+05:30,7,0,7,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-04T00:00:00+05:30,110,0,110,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-05T00:00:00+05:30,71,1,71,1,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-06T00:00:00+05:30,55,3,55,3,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-07T00:00:00+05:30,89,1,89,1,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-08T00:00:00+05:30,98,0,98,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-09T00:00:00+05:30,75,1,75,1,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-10T00:00:00+05:30,73,0,73,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-11T00:00:00+05:30,15,0,15,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-12T00:00:00+05:30,52,1,52,1,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-13T00:00:00+05:30,43,0,43,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-14T00:00:00+05:30,56,0,56,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-15T00:00:00+05:30,23,0,23,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-16T00:00:00+05:30,28,0,28,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-17T00:00:00+05:30,5,1,5,1,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-18T00:00:00+05:30,22,2,22,2,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-19T00:00:00+05:30,27,0,27,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-20T00:00:00+05:30,30,3,30,3,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-21T00:00:00+05:30,6,2,6,2,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-22T00:00:00+05:30,34,2,34,2,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-23T00:00:00+05:30,55,1,55,1,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-24T00:00:00+05:30,20,2,20,2,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-25T00:00:00+05:30,31,1,31,1,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-26T00:00:00+05:30,44,3,44,3,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-27T00:00:00+05:30,18,0,18,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-28T00:00:00+05:30,22,0,22,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-29T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-04-30T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-05-01T00:00:00+05:30,12,0,12,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-05-02T00:00:00+05:30,12,1,12,1,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-05-03T00:00:00+05:30,20,0,20,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-05-04T00:00:00+05:30,51,0,51,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-05-05T00:00:00+05:30,30,0,30,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-05-06T00:00:00+05:30,28,0,28,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-05-07T00:00:00+05:30,11,0,11,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-05-08T00:00:00+05:30,29,5,29,5,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-05-09T00:00:00+05:30,28,4,28,4,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-05-10T00:00:00+05:30,29,1,29,1,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-05-11T00:00:00+05:30,38,2,38,2,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-05-12T00:00:00+05:30,16,1,16,1,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,AHMEDNAGAR,2020-05-13T00:00:00+05:30,31,5,31,5,0,0,0,0,0,0,0,0,0,0
