State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
MANIPUR,BISHNUPUR,2020-03-30T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-03-31T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-01T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-02T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-03T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-04T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-05T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-14T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-17T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-18T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-19T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-20T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-21T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-23T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-25T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-26T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-28T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-29T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-04-30T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-05-02T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-05-03T00:00:00+05:30,9,0,9,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-05-05T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-05-06T00:00:00+05:30,11,0,11,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-05-07T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-05-08T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-05-09T00:00:00+05:30,30,0,30,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-05-10T00:00:00+05:30,24,0,24,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-05-11T00:00:00+05:30,51,0,51,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-05-12T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-05-13T00:00:00+05:30,7,0,7,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-05-15T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-05-16T00:00:00+05:30,40,0,40,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,BISHNUPUR,2020-05-17T00:00:00+05:30,26,0,26,0,0,0,0,0,0,0,0,0,0,0
