State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
MEGHALAYA,EAST GARO HILLS,2020-04-02T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-04-08T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-04-12T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-04-20T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-04-28T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-05-01T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-05-03T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-05-05T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-05-06T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-05-11T00:00:00+05:30,39,0,39,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-05-15T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-05-19T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-05-20T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-05-22T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-05-31T00:00:00+05:30,31,0,31,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-01T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-02T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-06T00:00:00+05:30,73,0,73,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-08T00:00:00+05:30,3,0,0,0,0,0,0,0,0,0,3,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-09T00:00:00+05:30,1,0,0,0,0,0,0,0,0,0,1,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-10T00:00:00+05:30,8,0,7,0,0,0,0,0,0,0,1,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-11T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-12T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-13T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-14T00:00:00+05:30,8,0,7,0,0,0,0,0,0,0,1,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-15T00:00:00+05:30,1,0,0,0,0,0,0,0,0,0,1,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-16T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-17T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-18T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-19T00:00:00+05:30,1,0,0,0,0,0,0,0,0,0,1,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-20T00:00:00+05:30,1,0,0,0,0,0,0,0,0,0,1,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-22T00:00:00+05:30,12,0,12,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-23T00:00:00+05:30,1,1,1,1,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-24T00:00:00+05:30,3,0,1,0,0,0,0,0,0,0,2,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-25T00:00:00+05:30,1,0,0,0,0,0,0,0,0,0,1,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-06-27T00:00:00+05:30,1,0,0,0,0,0,0,0,0,0,1,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-07-02T00:00:00+05:30,24,0,21,0,0,0,0,0,0,0,3,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-07-03T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-07-04T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-07-06T00:00:00+05:30,41,0,40,0,0,0,0,0,0,0,1,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-07-07T00:00:00+05:30,7,0,7,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-07-08T00:00:00+05:30,14,0,13,0,0,0,0,0,0,0,1,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-07-09T00:00:00+05:30,18,0,17,0,0,0,0,0,0,0,1,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-07-10T00:00:00+05:30,17,0,17,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-07-11T00:00:00+05:30,1,1,0,0,1,1,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-07-12T00:00:00+05:30,16,0,16,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-07-13T00:00:00+05:30,2,1,1,1,1,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-07-14T00:00:00+05:30,21,1,20,1,0,0,0,0,0,0,1,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-07-15T00:00:00+05:30,27,0,23,0,0,0,0,0,0,0,4,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-07-16T00:00:00+05:30,9,0,5,0,0,0,0,0,0,0,4,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-07-17T00:00:00+05:30,1,0,0,0,1,0,0,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,2020-07-20T00:00:00+05:30,4,0,1,0,3,0,0,0,0,0,0,0,0,0
