State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
NAGALAND,DIMAPUR,2020-03-24T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-03-30T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-01T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-02T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-04T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-05T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-06T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-08T00:00:00+05:30,12,0,12,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-09T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-12T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-14T00:00:00+05:30,40,0,40,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-15T00:00:00+05:30,36,0,36,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-16T00:00:00+05:30,43,0,43,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-17T00:00:00+05:30,57,0,57,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-18T00:00:00+05:30,40,0,40,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-19T00:00:00+05:30,44,0,44,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-20T00:00:00+05:30,22,0,22,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-21T00:00:00+05:30,43,0,43,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-22T00:00:00+05:30,56,0,56,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-23T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-24T00:00:00+05:30,62,0,62,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-25T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-26T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-27T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-28T00:00:00+05:30,9,0,9,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-04-30T00:00:00+05:30,13,0,13,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-01T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-02T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-04T00:00:00+05:30,19,0,19,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-05T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-06T00:00:00+05:30,24,0,24,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-07T00:00:00+05:30,10,0,10,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-08T00:00:00+05:30,12,0,12,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-09T00:00:00+05:30,21,0,21,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-11T00:00:00+05:30,25,0,25,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-12T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-14T00:00:00+05:30,17,0,17,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-15T00:00:00+05:30,10,0,10,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-16T00:00:00+05:30,7,0,7,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-18T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-19T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-20T00:00:00+05:30,22,0,22,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-21T00:00:00+05:30,7,0,7,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-23T00:00:00+05:30,54,0,54,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-24T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-25T00:00:00+05:30,28,2,28,2,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-26T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-28T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-29T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-30T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-05-31T00:00:00+05:30,28,1,28,1,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-06-01T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-06-02T00:00:00+05:30,11,0,10,0,0,0,0,1,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-06-03T00:00:00+05:30,32,3,32,3,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-06-04T00:00:00+05:30,7,3,7,3,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-06-05T00:00:00+05:30,32,5,32,5,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-06-06T00:00:00+05:30,28,5,28,5,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-06-07T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-06-08T00:00:00+05:30,83,3,83,3,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-06-09T00:00:00+05:30,70,9,52,9,0,0,0,0,0,0,18,0,0,0
NAGALAND,DIMAPUR,2020-06-10T00:00:00+05:30,190,16,176,16,0,0,0,0,0,0,14,0,0,0
NAGALAND,DIMAPUR,2020-06-11T00:00:00+05:30,60,8,48,8,0,0,0,0,0,0,12,0,0,0
NAGALAND,DIMAPUR,2020-06-12T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-06-13T00:00:00+05:30,24,7,24,7,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-06-15T00:00:00+05:30,93,0,93,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-06-16T00:00:00+05:30,79,1,79,1,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-06-17T00:00:00+05:30,193,2,193,2,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-06-18T00:00:00+05:30,47,0,46,0,0,0,0,0,0,0,1,0,0,0
NAGALAND,DIMAPUR,2020-06-19T00:00:00+05:30,42,0,39,0,0,0,0,0,0,0,3,0,0,0
NAGALAND,DIMAPUR,2020-06-20T00:00:00+05:30,8,0,1,0,0,0,0,0,0,0,7,0,0,0
NAGALAND,DIMAPUR,2020-06-21T00:00:00+05:30,125,0,1,0,0,0,0,0,0,0,124,0,0,0
NAGALAND,DIMAPUR,2020-06-22T00:00:00+05:30,59,0,18,0,0,0,0,0,0,0,41,0,0,0
NAGALAND,DIMAPUR,2020-06-23T00:00:00+05:30,305,5,304,5,0,0,0,0,0,0,1,0,0,0
NAGALAND,DIMAPUR,2020-06-24T00:00:00+05:30,39,0,2,0,0,0,0,0,0,0,37,0,0,0
NAGALAND,DIMAPUR,2020-06-25T00:00:00+05:30,50,0,2,0,0,0,0,0,0,0,48,0,0,0
NAGALAND,DIMAPUR,2020-06-26T00:00:00+05:30,14,2,14,2,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-06-27T00:00:00+05:30,4,1,2,1,0,0,0,0,0,0,2,0,0,0
NAGALAND,DIMAPUR,2020-06-29T00:00:00+05:30,54,0,52,0,0,0,0,0,0,0,2,0,0,0
NAGALAND,DIMAPUR,2020-06-30T00:00:00+05:30,45,1,45,1,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2020-07-01T00:00:00+05:30,75,2,55,2,0,0,0,0,0,0,20,1,0,0
NAGALAND,DIMAPUR,2020-07-02T00:00:00+05:30,156,6,117,6,0,0,0,0,0,0,39,0,0,0
NAGALAND,DIMAPUR,2020-07-03T00:00:00+05:30,277,0,273,0,0,0,0,0,0,0,4,0,0,0
NAGALAND,DIMAPUR,2020-07-04T00:00:00+05:30,177,1,135,1,0,0,0,0,0,0,42,0,0,0
NAGALAND,DIMAPUR,2020-07-05T00:00:00+05:30,194,19,171,19,0,0,0,0,0,0,23,0,0,0
NAGALAND,DIMAPUR,2020-07-06T00:00:00+05:30,107,10,107,10,0,0,0,0,0,0,0,0,0,0
