State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
PUDUCHERRY,KARAIKAL,2020-03-20T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-03-21T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-04-01T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-04-02T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-04-03T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-04-09T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-04-10T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-04-11T00:00:00+05:30,38,0,38,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-04-13T00:00:00+05:30,75,0,75,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-04-14T00:00:00+05:30,70,0,70,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-04-18T00:00:00+05:30,80,0,80,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-04-21T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-04-22T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-04-27T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-04-29T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-04-30T00:00:00+05:30,23,0,23,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-01T00:00:00+05:30,37,0,37,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-02T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-03T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-04T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-07T00:00:00+05:30,38,0,38,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-08T00:00:00+05:30,17,0,16,0,0,0,0,0,0,0,1,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-09T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-10T00:00:00+05:30,71,1,71,1,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-11T00:00:00+05:30,15,0,13,0,0,0,0,0,0,0,2,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-12T00:00:00+05:30,33,0,33,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-13T00:00:00+05:30,46,0,46,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-14T00:00:00+05:30,55,0,55,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-15T00:00:00+05:30,83,1,83,1,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-16T00:00:00+05:30,54,0,54,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-17T00:00:00+05:30,44,0,44,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-18T00:00:00+05:30,15,0,15,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-19T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-20T00:00:00+05:30,10,0,10,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-21T00:00:00+05:30,47,0,47,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-22T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-23T00:00:00+05:30,31,0,31,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-24T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-25T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-26T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-27T00:00:00+05:30,13,0,13,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-28T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-29T00:00:00+05:30,11,0,11,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-30T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-05-31T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-01T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-02T00:00:00+05:30,10,0,10,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-03T00:00:00+05:30,11,0,11,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-04T00:00:00+05:30,9,0,9,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-05T00:00:00+05:30,7,0,7,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-06T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-07T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-08T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-09T00:00:00+05:30,13,0,13,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-10T00:00:00+05:30,13,0,13,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-11T00:00:00+05:30,90,0,90,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-12T00:00:00+05:30,69,1,69,1,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-13T00:00:00+05:30,84,0,84,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-14T00:00:00+05:30,145,0,145,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-15T00:00:00+05:30,30,2,30,2,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-16T00:00:00+05:30,117,0,117,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-17T00:00:00+05:30,95,2,95,2,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-18T00:00:00+05:30,91,0,91,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-19T00:00:00+05:30,95,1,95,1,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-20T00:00:00+05:30,84,2,84,2,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-21T00:00:00+05:30,68,0,68,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-22T00:00:00+05:30,18,2,18,2,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-23T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-24T00:00:00+05:30,111,0,109,0,0,0,0,0,0,0,2,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-25T00:00:00+05:30,71,12,71,12,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-26T00:00:00+05:30,79,17,79,17,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-27T00:00:00+05:30,106,0,106,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-28T00:00:00+05:30,145,0,145,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-29T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-06-30T00:00:00+05:30,135,1,135,1,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-07-01T00:00:00+05:30,123,3,123,3,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-07-02T00:00:00+05:30,80,2,80,2,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-07-03T00:00:00+05:30,88,6,88,6,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-07-04T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-07-05T00:00:00+05:30,123,1,123,1,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-07-06T00:00:00+05:30,68,0,67,0,0,0,0,0,0,0,1,0,0,0
PUDUCHERRY,KARAIKAL,2020-07-07T00:00:00+05:30,66,1,66,1,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-07-08T00:00:00+05:30,87,25,87,25,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-07-09T00:00:00+05:30,121,5,121,5,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-07-10T00:00:00+05:30,109,11,109,11,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2020-07-11T00:00:00+05:30,132,11,132,11,0,0,0,0,0,0,0,0,0,0
