State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
RAJASTHAN,AJMER,2020-03-12T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-03-23T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-03-26T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-03-27T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-03-28T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-03-29T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-03-30T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-03-31T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-01T00:00:00+05:30,12,0,12,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-03T00:00:00+05:30,92,5,92,5,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-04T00:00:00+05:30,110,0,110,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-05T00:00:00+05:30,73,0,73,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-06T00:00:00+05:30,20,0,20,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-07T00:00:00+05:30,26,0,26,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-08T00:00:00+05:30,17,0,17,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-09T00:00:00+05:30,13,0,13,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-10T00:00:00+05:30,31,0,31,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-11T00:00:00+05:30,32,0,32,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-12T00:00:00+05:30,16,0,16,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-13T00:00:00+05:30,13,0,13,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-14T00:00:00+05:30,69,0,69,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-15T00:00:00+05:30,135,5,135,5,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-16T00:00:00+05:30,19,5,19,5,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-17T00:00:00+05:30,91,1,91,1,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-18T00:00:00+05:30,67,0,67,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-19T00:00:00+05:30,109,1,109,1,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,AJMER,2020-04-20T00:00:00+05:30,88,0,88,0,0,0,0,0,0,0,0,0,0,0
