State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
SIKKIM,EAST DISTRICT,2020-03-23T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-03-27T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-03-30T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-04-02T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-04-03T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-04-04T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-04-06T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-04-07T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-04-08T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-04-10T00:00:00+05:30,9,0,9,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-04-11T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-04-16T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-04-21T00:00:00+05:30,11,0,11,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-04-22T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-04-24T00:00:00+05:30,10,0,10,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-04-26T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-04-27T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-05-01T00:00:00+05:30,6,1,6,1,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-05-03T00:00:00+05:30,13,0,0,0,0,0,0,0,0,0,13,0,0,0
SIKKIM,EAST DISTRICT,2020-05-04T00:00:00+05:30,1,0,0,0,0,0,0,0,0,0,1,0,0,0
SIKKIM,EAST DISTRICT,2020-05-05T00:00:00+05:30,7,0,0,0,0,0,0,0,0,0,7,0,0,0
SIKKIM,EAST DISTRICT,2020-05-06T00:00:00+05:30,19,0,3,0,0,0,0,0,0,0,16,0,0,0
SIKKIM,EAST DISTRICT,2020-05-07T00:00:00+05:30,10,0,10,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-05-08T00:00:00+05:30,10,0,7,0,0,0,0,0,0,0,3,0,0,0
SIKKIM,EAST DISTRICT,2020-05-09T00:00:00+05:30,17,0,17,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-05-10T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,EAST DISTRICT,2020-05-11T00:00:00+05:30,9,0,2,0,0,0,0,0,0,0,7,0,0,0
SIKKIM,EAST DISTRICT,2020-05-12T00:00:00+05:30,38,0,0,0,0,0,0,0,0,0,38,0,0,0
SIKKIM,EAST DISTRICT,2020-05-13T00:00:00+05:30,37,0,3,0,0,0,0,0,0,0,34,0,0,0
SIKKIM,EAST DISTRICT,2020-05-14T00:00:00+05:30,4,0,0,0,0,0,0,0,0,0,4,0,0,0
SIKKIM,EAST DISTRICT,2020-05-17T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
