State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
TAMIL NADU,ARIYALUR,2020-03-25T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-03-26T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-03-27T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-03-28T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-01T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-04T00:00:00+05:30,11,0,11,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-05T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-06T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-07T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-09T00:00:00+05:30,13,0,13,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-10T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-11T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-13T00:00:00+05:30,5,1,5,1,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-14T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-15T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-16T00:00:00+05:30,27,0,27,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-17T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-18T00:00:00+05:30,15,2,15,2,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-19T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-20T00:00:00+05:30,22,0,22,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-21T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-22T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-23T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-25T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-28T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-29T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-04-30T00:00:00+05:30,11,3,11,3,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-01T00:00:00+05:30,29,1,29,1,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-02T00:00:00+05:30,58,20,58,20,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-03T00:00:00+05:30,105,1,105,1,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-04T00:00:00+05:30,8,6,8,6,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-05T00:00:00+05:30,147,5,147,5,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-06T00:00:00+05:30,173,165,173,165,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-07T00:00:00+05:30,178,43,178,43,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-08T00:00:00+05:30,167,15,167,15,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-09T00:00:00+05:30,134,5,134,5,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-10T00:00:00+05:30,49,33,49,33,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-11T00:00:00+05:30,163,36,163,36,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-12T00:00:00+05:30,72,19,72,19,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-13T00:00:00+05:30,77,31,77,31,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-14T00:00:00+05:30,84,11,83,11,0,0,0,1,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-15T00:00:00+05:30,13,0,13,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-16T00:00:00+05:30,104,3,104,3,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-17T00:00:00+05:30,8,5,8,5,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-18T00:00:00+05:30,140,1,139,1,0,0,0,0,0,0,1,0,0,0
TAMIL NADU,ARIYALUR,2020-05-19T00:00:00+05:30,114,2,114,2,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-20T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-21T00:00:00+05:30,49,1,49,1,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-22T00:00:00+05:30,216,3,216,3,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-23T00:00:00+05:30,236,0,236,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-24T00:00:00+05:30,14,0,14,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-25T00:00:00+05:30,270,16,270,16,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-26T00:00:00+05:30,147,3,147,3,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-27T00:00:00+05:30,72,0,71,0,0,0,0,0,0,0,1,0,0,0
TAMIL NADU,ARIYALUR,2020-05-28T00:00:00+05:30,170,3,170,3,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-29T00:00:00+05:30,73,4,73,4,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-30T00:00:00+05:30,77,0,77,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-05-31T00:00:00+05:30,23,0,23,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-01T00:00:00+05:30,68,0,68,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-02T00:00:00+05:30,101,2,100,2,0,0,0,1,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-03T00:00:00+05:30,114,5,114,5,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-04T00:00:00+05:30,171,1,171,1,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-05T00:00:00+05:30,93,4,93,4,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-06T00:00:00+05:30,64,1,63,1,0,0,0,0,0,0,1,0,0,0
TAMIL NADU,ARIYALUR,2020-06-07T00:00:00+05:30,10,0,10,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-08T00:00:00+05:30,91,4,90,4,0,0,0,1,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-09T00:00:00+05:30,75,0,75,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-10T00:00:00+05:30,89,5,89,5,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-11T00:00:00+05:30,156,4,156,4,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-12T00:00:00+05:30,143,0,143,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-13T00:00:00+05:30,96,0,96,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-14T00:00:00+05:30,42,0,42,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-15T00:00:00+05:30,109,4,109,4,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-16T00:00:00+05:30,125,1,125,1,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-17T00:00:00+05:30,191,5,191,5,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-18T00:00:00+05:30,136,4,136,4,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-19T00:00:00+05:30,225,7,224,7,0,0,0,1,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-20T00:00:00+05:30,212,11,212,11,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-21T00:00:00+05:30,16,0,16,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-22T00:00:00+05:30,179,5,179,5,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-23T00:00:00+05:30,232,19,232,19,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-24T00:00:00+05:30,216,6,216,6,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-25T00:00:00+05:30,247,3,247,3,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-26T00:00:00+05:30,233,6,232,6,0,0,0,0,0,0,0,0,1,0
TAMIL NADU,ARIYALUR,2020-06-27T00:00:00+05:30,295,4,295,4,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-28T00:00:00+05:30,18,0,18,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-06-29T00:00:00+05:30,224,0,222,0,0,0,0,0,0,0,0,0,2,0
TAMIL NADU,ARIYALUR,2020-06-30T00:00:00+05:30,251,0,251,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ARIYALUR,2020-07-01T00:00:00+05:30,217,1,216,1,0,0,0,0,0,0,0,0,1,0
TAMIL NADU,ARIYALUR,2020-07-02T00:00:00+05:30,374,2,373,2,1,0,0,0,0,0,0,0,0,0
