State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
TELANGANA,ADILABAD,2020-03-12T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-03-21T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-03-23T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-03-24T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-03-26T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-04-03T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-04-05T00:00:00+05:30,14,0,14,0,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-04-06T00:00:00+05:30,62,1,62,1,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-04-07T00:00:00+05:30,15,1,15,1,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-04-08T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-04-10T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-04-11T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-04-12T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-04-13T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-04-15T00:00:00+05:30,7,0,7,0,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-04-16T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-04-17T00:00:00+05:30,13,3,13,3,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-04-18T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-04-19T00:00:00+05:30,55,5,55,5,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-04-20T00:00:00+05:30,54,0,54,0,0,0,0,0,0,0,0,0,0,0
TELANGANA,ADILABAD,2020-04-21T00:00:00+05:30,56,2,56,2,0,0,0,0,0,0,0,0,0,0
