State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
TRIPURA,DHALAI,2020-03-26T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-03-28T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-03T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-05T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-08T00:00:00+05:30,9,0,9,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-09T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-11T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-12T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-15T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-17T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-18T00:00:00+05:30,13,0,13,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-19T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-20T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-21T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-22T00:00:00+05:30,40,0,40,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-24T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-25T00:00:00+05:30,127,0,127,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-26T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-27T00:00:00+05:30,83,0,83,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-28T00:00:00+05:30,3,0,3,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-29T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-04-30T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-01T00:00:00+05:30,7,0,6,0,0,0,0,1,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-02T00:00:00+05:30,28,2,28,2,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-03T00:00:00+05:30,40,12,40,12,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-04T00:00:00+05:30,176,12,176,12,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-05T00:00:00+05:30,195,13,195,13,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-06T00:00:00+05:30,144,22,144,22,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-07T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-08T00:00:00+05:30,134,25,134,25,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-09T00:00:00+05:30,183,45,183,45,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-10T00:00:00+05:30,51,0,51,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-11T00:00:00+05:30,247,18,247,18,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-12T00:00:00+05:30,201,1,201,1,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-13T00:00:00+05:30,72,1,72,1,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-14T00:00:00+05:30,5,0,5,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-15T00:00:00+05:30,103,7,103,7,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-16T00:00:00+05:30,5,1,5,1,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-17T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-18T00:00:00+05:30,47,2,47,2,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-19T00:00:00+05:30,100,1,100,1,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-20T00:00:00+05:30,23,0,23,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-21T00:00:00+05:30,26,0,26,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-22T00:00:00+05:30,251,1,251,1,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-23T00:00:00+05:30,55,1,55,1,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-25T00:00:00+05:30,8,0,7,0,0,0,0,0,0,0,1,0,0,0
TRIPURA,DHALAI,2020-05-26T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-05-27T00:00:00+05:30,22,5,20,4,0,0,1,1,0,0,1,0,0,0
TRIPURA,DHALAI,2020-05-28T00:00:00+05:30,164,6,161,6,0,0,0,0,0,0,3,0,0,0
TRIPURA,DHALAI,2020-05-29T00:00:00+05:30,359,0,353,0,0,0,0,0,0,0,6,0,0,0
TRIPURA,DHALAI,2020-05-30T00:00:00+05:30,50,1,48,1,0,0,0,0,0,0,2,0,0,0
TRIPURA,DHALAI,2020-05-31T00:00:00+05:30,33,0,33,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-06-01T00:00:00+05:30,102,4,100,4,0,0,0,0,0,0,2,0,0,0
TRIPURA,DHALAI,2020-06-02T00:00:00+05:30,54,1,54,1,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-06-03T00:00:00+05:30,155,0,152,0,0,0,0,0,0,0,3,0,0,0
TRIPURA,DHALAI,2020-06-04T00:00:00+05:30,34,21,33,21,0,0,0,0,0,0,1,0,0,0
TRIPURA,DHALAI,2020-06-05T00:00:00+05:30,12,0,10,0,0,0,0,0,0,0,2,0,0,0
TRIPURA,DHALAI,2020-06-06T00:00:00+05:30,132,0,125,0,0,0,0,0,0,0,7,0,0,0
TRIPURA,DHALAI,2020-06-07T00:00:00+05:30,13,0,0,0,0,0,0,0,0,0,13,0,0,0
TRIPURA,DHALAI,2020-06-08T00:00:00+05:30,15,4,9,4,0,0,0,0,0,0,6,0,0,0
TRIPURA,DHALAI,2020-06-09T00:00:00+05:30,140,0,137,0,0,0,0,0,0,0,3,0,0,0
TRIPURA,DHALAI,2020-06-10T00:00:00+05:30,212,1,211,1,0,0,0,0,0,0,1,0,0,0
TRIPURA,DHALAI,2020-06-11T00:00:00+05:30,13,0,6,0,0,0,0,0,0,0,7,0,0,0
TRIPURA,DHALAI,2020-06-13T00:00:00+05:30,17,1,4,1,0,0,0,0,0,0,13,0,0,0
TRIPURA,DHALAI,2020-06-14T00:00:00+05:30,48,0,32,0,0,0,0,0,0,0,16,0,0,0
TRIPURA,DHALAI,2020-06-15T00:00:00+05:30,17,0,15,0,0,0,0,0,0,0,2,0,0,0
TRIPURA,DHALAI,2020-06-16T00:00:00+05:30,9,0,9,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,DHALAI,2020-06-17T00:00:00+05:30,8,0,1,0,0,0,0,0,0,0,7,0,0,0
TRIPURA,DHALAI,2020-06-18T00:00:00+05:30,11,0,10,0,0,0,0,0,0,0,1,0,0,0
TRIPURA,DHALAI,2020-06-19T00:00:00+05:30,75,1,68,1,0,0,0,0,0,0,7,0,0,0
TRIPURA,DHALAI,2020-06-20T00:00:00+05:30,45,0,42,0,0,0,0,0,0,0,3,0,0,0
