State,District,Date,Total tests,Total positives,Sum of RTPCRTests,Sum of RTPCRPos,Sum of AntigenTests,Sum of AntigenPos,Sum of CBNAATPos,Sum of CBNAATTests,Sum of OtherTest,Sum of OtherTestPos,Sum of TrueNATTests,Sum of TrueNATPos,Sum of TrueNATConfTests,Sum of TrueNATConfPos
UTTARAKHAND,ALMORA,2020-03-25T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-03-26T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-03-27T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-03-28T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-03-31T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-01T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-03T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-04T00:00:00+05:30,7,0,7,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-07T00:00:00+05:30,17,0,17,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-08T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-09T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-10T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-11T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-12T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-15T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-16T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-17T00:00:00+05:30,7,0,7,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-18T00:00:00+05:30,6,0,6,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-19T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-20T00:00:00+05:30,9,0,9,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-22T00:00:00+05:30,15,0,15,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-23T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-24T00:00:00+05:30,8,0,8,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-25T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-26T00:00:00+05:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-27T00:00:00+05:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,ALMORA,2020-04-28T00:00:00+05:30,4,0,4,0,0,0,0,0,0,0,0,0,0,0
